DocumentUrl	Title	GitHubUrl
whatsnew/3.4.html#removed	削除	
whatsnew/3.4.html#operating-systems-no-longer-supported	サポートされなくなったオペレーティングシステム	
whatsnew/3.4.html#api-and-feature-removals	API と機能の削除	
whatsnew/3.4.html#code-cleanups	コードの整理	
whatsnew/3.4.html#porting-to-python-3-4	Python 3.4 への移植	
whatsnew/3.4.html#changes-in-python-command-behavior	‘python’ コマンドの挙動の変更	
whatsnew/3.4.html#changes-in-the-python-api	Python API の変更	
whatsnew/3.4.html#changes-in-the-c-api	C API の変更	
whatsnew/3.4.html#changed-in-3-4-3	3.4.3 の変更	
whatsnew/3.4.html#pep-476-enabling-certificate-verification-by-default-for-stdlib-http-clients	PEP 476: stdlib http クライアントが証明書の検証を行うのをデフォルトで有効化	
whatsnew/3.3.html	What’s New In Python 3.3	
whatsnew/3.3.html#summary-release-highlights	概要 – リリースハイライト	
whatsnew/3.3.html#pep-405-virtual-environments	PEP 405: 仮想環境	
whatsnew/3.3.html#pep-420-implicit-namespace-packages	PEP 420: 暗黙的な名前空間パッケージ	
whatsnew/3.3.html#pep-3118-new-memoryview-implementation-and-buffer-protocol-documentation	PEP 3118: 新たなメモリビューの実装とバッファプロトコルのドキュメント	
whatsnew/3.3.html#features	フィーチャー	
whatsnew/3.3.html#api-changes	API の変更	
whatsnew/3.3.html#pep-393-flexible-string-representation	PEP 393: 文字列の柔軟な表現	
whatsnew/3.3.html#functionality	機能性	
whatsnew/3.3.html#performance-and-resource-usage	性能およびリソース使用量	
whatsnew/3.3.html#pep-397-python-launcher-for-windows	PEP 397: Windows の Python ランチャ	
whatsnew/3.3.html#pep-3151-reworking-the-os-and-io-exception-hierarchy	PEP 3151: OS および IO 例外階層の手直し	
whatsnew/3.3.html#pep-380-syntax-for-delegating-to-a-subgenerator	PEP 380: サブジェネレータへの委譲構文	
whatsnew/3.3.html#pep-409-suppressing-exception-context	PEP 409: 例外コンテクストの抑制	
whatsnew/3.3.html#pep-414-explicit-unicode-literals	PEP 414: 明示的なユニコードリテラル	
whatsnew/3.3.html#pep-3155-qualified-name-for-classes-and-functions	PEP 3155: クラスと関数の正規名	
whatsnew/3.3.html#pep-412-key-sharing-dictionary	PEP 412: キー共有辞書	
whatsnew/3.3.html#pep-362-function-signature-object	PEP 362: 関数シグニチャオブジェクト	
whatsnew/3.3.html#pep-421-adding-sys-implementation	PEP 421: sys.implementation の追加	
whatsnew/3.3.html#simplenamespace	SimpleNamespace	
whatsnew/3.3.html#using-importlib-as-the-implementation-of-import	インポート実装としての importlib の使用	
whatsnew/3.3.html#new-apis	新たな API	
whatsnew/3.3.html#visible-changes	目に見える変化	
whatsnew/3.3.html#other-language-changes	その他の言語変更	
whatsnew/3.3.html#a-finer-grained-import-lock	細粒度のインポートロック	
whatsnew/3.3.html#builtin-functions-and-types	組み込みの関数と型	
whatsnew/3.3.html#new-modules	新たなモジュール	
whatsnew/3.3.html#faulthandler	faulthandler	
whatsnew/3.3.html#ipaddress	ipaddress	
whatsnew/3.3.html#lzma	lzma	
whatsnew/3.3.html#improved-modules	改良されたモジュール	
whatsnew/3.3.html#abc	abc	
whatsnew/3.3.html#array	array	
whatsnew/3.3.html#base64	base64	
whatsnew/3.3.html#binascii	binascii	
whatsnew/3.3.html#bz2	bz2	
whatsnew/3.3.html#codecs	codecs	
whatsnew/3.3.html#collections	collections	
whatsnew/3.3.html#contextlib	contextlib	
whatsnew/3.3.html#crypt	crypt	
whatsnew/3.3.html#curses	curses	
whatsnew/3.3.html#datetime	datetime	
whatsnew/3.3.html#decimal	decimal	
whatsnew/3.3.html#id1	フィーチャー	
whatsnew/3.3.html#id2	API の変更	
whatsnew/3.3.html#email	email	
whatsnew/3.3.html#policy-framework	ポリシーフレームワーク	
whatsnew/3.3.html#provisional-policy-with-new-header-api	新規ヘッダ API を伴った暫定ポリシー	
whatsnew/3.3.html#other-api-changes	その他のAPIの変更	
whatsnew/3.3.html#ftplib	ftplib	
whatsnew/3.3.html#functools	functools	
whatsnew/3.3.html#gc	gc	
whatsnew/3.3.html#hmac	hmac	
whatsnew/3.3.html#http	http	
whatsnew/3.3.html#html	html	
whatsnew/3.3.html#imaplib	imaplib	
whatsnew/3.3.html#inspect	inspect	
whatsnew/3.3.html#io	io	
whatsnew/3.3.html#itertools	itertools	
whatsnew/3.3.html#logging	logging	
whatsnew/3.3.html#math	math	
whatsnew/3.3.html#mmap	mmap	
whatsnew/3.3.html#multiprocessing	multiprocessing	
whatsnew/3.3.html#nntplib	nntplib	
whatsnew/3.3.html#os	os	
whatsnew/3.3.html#pdb	pdb	
whatsnew/3.3.html#pickle	pickle	
whatsnew/3.3.html#pydoc	pydoc	
whatsnew/3.3.html#re	re	
whatsnew/3.3.html#sched	sched	
whatsnew/3.3.html#select	select	
whatsnew/3.3.html#shlex	shlex	
whatsnew/3.3.html#shutil	shutil	
whatsnew/3.3.html#signal	signal	
whatsnew/3.3.html#smtpd	smtpd	
whatsnew/3.3.html#smtplib	smtplib	
whatsnew/3.3.html#socket	socket	
whatsnew/3.3.html#socketserver	socketserver	
whatsnew/3.3.html#sqlite3	sqlite3	
whatsnew/3.3.html#ssl	ssl	
whatsnew/3.3.html#stat	stat	
whatsnew/3.3.html#struct	struct	
whatsnew/3.3.html#subprocess	subprocess	
whatsnew/3.3.html#sys	sys	
whatsnew/3.3.html#tarfile	tarfile	
whatsnew/3.3.html#tempfile	tempfile	
whatsnew/3.3.html#textwrap	textwrap	
whatsnew/3.3.html#threading	threading	
whatsnew/3.3.html#time	time	
whatsnew/3.3.html#types	types	
whatsnew/3.3.html#unittest	unittest	
whatsnew/3.3.html#urllib	urllib	
whatsnew/3.3.html#webbrowser	webbrowser	
whatsnew/3.3.html#xml-etree-elementtree	xml.etree.ElementTree	
whatsnew/3.3.html#zlib	zlib	
whatsnew/3.3.html#optimizations	最適化	
whatsnew/3.3.html#build-and-c-api-changes	ビルドならびに C API の変更	
whatsnew/3.3.html#deprecated	非推奨	
whatsnew/3.3.html#unsupported-operating-systems	サポートされないオペレーティングシステム	
whatsnew/3.3.html#deprecated-python-modules-functions-and-methods	非推奨の Python モジュール、関数、メソッド	
whatsnew/3.3.html#deprecated-functions-and-types-of-the-c-api	C API の非推奨の関数ならびに型	
whatsnew/3.3.html#deprecated-features	非推奨の機能	
whatsnew/3.3.html#porting-to-python-3-3	Python 3.3 への移植	
whatsnew/3.3.html#porting-python-code	Python コードの移植	
whatsnew/3.3.html#porting-c-code	C コードの移植	
whatsnew/3.3.html#building-c-extensions	C 拡張のビルド	
whatsnew/3.3.html#command-line-switch-changes	コマンドラインスイッチの変更	
whatsnew/3.2.html	What’s New In Python 3.2	
whatsnew/3.2.html#pep-384-defining-a-stable-abi	PEP 384: 安定 ABI の定義	
whatsnew/3.2.html#pep-389-argparse-command-line-parsing-module	PEP 389: argparse コマンドライン解析モジュール	
whatsnew/3.2.html#pep-391-dictionary-based-configuration-for-logging	PEP 391:  logging の辞書ベースの設定	
whatsnew/3.2.html#pep-3148-the-concurrent-futures-module	PEP 3148:concurrent.futuresモジュール	
whatsnew/3.2.html#pep-3147-pyc-repository-directories	PEP 3147:  PYC リポジトリーディレクトリ	
whatsnew/3.2.html#pep-3149-abi-version-tagged-so-files	PEP 3149: ABI バージョンでタグ付けされた .so ファイル	
whatsnew/3.2.html#pep-3333-python-web-server-gateway-interface-v1-0-1	PEP 3333: Python Web Server Gateway Interface v1.0.1	
whatsnew/3.2.html#other-language-changes	その他の言語変更	
whatsnew/3.2.html#new-improved-and-deprecated-modules	新たなモジュール、改良されたモジュール、非推奨のモジュール	
whatsnew/3.2.html#email	email	
whatsnew/3.2.html#elementtree	elementtree	
whatsnew/3.2.html#functools	functools	
whatsnew/3.2.html#itertools	itertools	
whatsnew/3.2.html#collections	collections	
whatsnew/3.2.html#threading	threading	
whatsnew/3.2.html#datetime-and-time	datetime と time	
whatsnew/3.2.html#math	math	
whatsnew/3.2.html#abc	abc	
whatsnew/3.2.html#io	io	
whatsnew/3.2.html#reprlib	reprlib	
whatsnew/3.2.html#logging	logging	
whatsnew/3.2.html#csv	csv	
whatsnew/3.2.html#contextlib	contextlib	
whatsnew/3.2.html#decimal-and-fractions	decimal と fractions	
whatsnew/3.2.html#ftp	ftp	
whatsnew/3.2.html#popen	popen	
whatsnew/3.2.html#select	select	
whatsnew/3.2.html#gzip-and-zipfile	gzip と zipfile	
whatsnew/3.2.html#tarfile	tarfile	
whatsnew/3.2.html#hashlib	hashlib	
whatsnew/3.2.html#ast	ast	
whatsnew/3.2.html#os	os	
whatsnew/3.2.html#shutil	shutil	
whatsnew/3.2.html#sqlite3	sqlite3	
whatsnew/3.2.html#html	html	
whatsnew/3.2.html#socket	socket	
whatsnew/3.2.html#ssl	ssl	
whatsnew/3.2.html#nntp	nntp	
whatsnew/3.2.html#certificates	certificates	
whatsnew/3.2.html#imaplib	imaplib	
whatsnew/3.2.html#http-client	http.client	
whatsnew/3.2.html#unittest	unittest	
whatsnew/3.2.html#random	random	
whatsnew/3.2.html#poplib	poplib	
whatsnew/3.2.html#asyncore	asyncore	
whatsnew/3.2.html#tempfile	tempfile	
whatsnew/3.2.html#inspect	inspect	
whatsnew/3.2.html#pydoc	pydoc	
whatsnew/3.2.html#dis	dis	
whatsnew/3.2.html#dbm	dbm	
whatsnew/3.2.html#ctypes	ctypes	
whatsnew/3.2.html#site	site	
whatsnew/3.2.html#sysconfig	sysconfig	
whatsnew/3.2.html#pdb	pdb	
whatsnew/3.2.html#configparser	configparser	
whatsnew/3.2.html#urllib-parse	urllib.parse	
whatsnew/3.2.html#mailbox	mailbox	
whatsnew/3.2.html#turtledemo	turtledemo	
whatsnew/3.2.html#multi-threading	マルチスレッディング	
whatsnew/3.2.html#optimizations	最適化	
whatsnew/3.2.html#unicode	Unicode 文字列型	
whatsnew/3.2.html#codecs	Codecs	
whatsnew/3.2.html#documentation	ドキュメント	
whatsnew/3.2.html#idle	IDLE	
whatsnew/3.2.html#code-repository	コードリポジトリ	
whatsnew/3.2.html#build-and-c-api-changes	ビルドならびに C API の変更	
whatsnew/3.2.html#porting-to-python-3-2	Python 3.2 への移植	
whatsnew/3.1.html	What’s New In Python 3.1	
whatsnew/3.1.html#pep-372-ordered-dictionaries	PEP 372: 順序付き辞書	
whatsnew/3.1.html#pep-378-format-specifier-for-thousands-separator	PEP 378: 1000区切りのための書式指定子	
whatsnew/3.1.html#other-language-changes	その他の言語変更	
